Computer date,Tree ID,Date,Maple Species,Maple Code,Latitude,Longitude,Concrete,Concrete Code,Habitat,Habitat Code,Shade ,Shade Code,Tree Circumference_in,Damage,Other Comments,Leaf Color,Leaf Color Code,Leaves Dropping,Leaf Drop Code,Fruit,Fruit Code
10/27/2013 - 1:09pm,,10/18/13,,,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,"There are some missing limbs - appears that they were cut of (by the university?). A slight ""split"" in the trunk. It's external, and appears healed (maybe?). ",Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/21/2013 - 8:27am,,10/20/13,,,,,Yes,2,Home lawn,2,Open (more than 5hr per day of direct sun),1,,,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/21/2013 - 8:36pm,,10/21/13,,,,,Yes,2,School paved area,6,Open (more than 5hr per day of direct sun),1,,Nothing new.,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/22/2013 - 9:02am,,10/21/13,,,,,Yes,2,School paved area,6,Open (more than 5hr per day of direct sun),1,,some lichen on bark. small hole near base of trunk with bark missing.,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/22/2013 - 7:10pm,,10/21/13,,,,,Yes,2,Home lawn,2,Partially Shaded (2-5hr per day of direct sun),2,,,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/23/2013 - 10:10am,,10/23/13,,,,,Yes,2,Home lawn,2,Partially Shaded (2-5hr per day of direct sun),2,,No visible damages,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/24/2013 - 11:00am,,10/24/13,,,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,no apparent damage,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
12/02/2013 - 9:58am,,11/2/13,,,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,None.,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/10/2014 - 12:59pm,,3/10/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,few damage lost branches,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/03/2014 - 11:54am,,9/3/14,Sugar Maple,4,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,none ,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/03/2014 - 11:55am,,9/3/14,Sugar Maple,4,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/03/2014 - 11:57am,,9/3/14,Sugar Maple,4,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,"For the most part, the tree is very healthy! However, there is a slight decrease in foliage at the very top. And it's turning slightly yellow at the top. ",Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/03/2014 - 11:59am,,9/3/14,Sugar Maple,4,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/03/2014 - 11:59am,,9/3/14,Sugar Maple,4,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/03/2014 - 12:00pm,,9/3/14,Sugar Maple,4,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,No,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/03/2014 - 12:15pm,,9/3/14,Sugar Maple,4,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,"Some leaves at the top are falling/turning, a few small branches are bare",Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/03/2014 - 11:52am,,9/3/14,Sugar Maple,4,,,Yes,2,School garden,4,Partially Shaded (2-5hr per day of direct sun),2,,,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/03/2014 - 11:53am,,9/3/14,Sugar Maple,4,,,Yes,2,School lawn,5,Partially Shaded (2-5hr per day of direct sun),2,,None ,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/03/2014 - 11:53am,,9/3/14,Sugar Maple,4,,,Yes,2,School lawn,5,Partially Shaded (2-5hr per day of direct sun),2,,None ,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/03/2014 - 11:54am,,9/3/14,Sugar Maple,4,,,Yes,2,School lawn,5,Partially Shaded (2-5hr per day of direct sun),2,,None! ,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/03/2014 - 11:54am,,9/3/14,Sugar Maple,4,,,Yes,2,School lawn,5,Partially Shaded (2-5hr per day of direct sun),2,,Not too much damage done to the tree - looks fairly healthy,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/23/2014 - 2:30pm,,9/10/14,Norway Maple,1,,,Yes,2,Home lawn,2,Open (more than 5hr per day of direct sun),1,,One major limb broken in windstorm.  ,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/11/2014 - 11:49am,,9/10/14,Sugar Maple,4,,,Yes,2,Home lawn,2,Open (more than 5hr per day of direct sun),1,,,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/11/2014 - 10:25am,,9/10/14,Silver Maple,3,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/11/2014 - 2:25pm,,9/10/14,Silver Maple,3,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,Cracks at base of tree.,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/15/2014 - 10:00am,,9/10/14,Silver Maple,3,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/15/2014 - 10:00am,,9/10/14,Silver Maple,3,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/15/2014 - 10:39am,,9/10/14,Silver Maple,3,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,No DAMAGE,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/15/2014 - 9:59am,,9/10/14,Silver Maple,3,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,None.,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/18/2014 - 11:28am,,9/17/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Open (more than 5hr per day of direct sun),1,,1 broken branch,gets really good shade nice ad cool,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/22/2014 - 2:15pm,,10/22/14,Norway Maple,1,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/14/2015 - 1:45pm,69,9/14/15,Red Maple,2,44.56,-74.95,Yes,2,School paved area,6,Open (more than 5hr per day of direct sun),1,13,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/22/2014 - 2:16pm,6,9/23/15,Sugar Maple,4,44.61138,-75.169582,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,48,no damage,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/02/2015 - 2:15pm,46,10/2/15,Norway Maple,1,44.605492,-75.167624,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,119,Fungus on leaves,Jimmy Jr 2,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/08/2015 - 8:31am,,10/8/15,Sugar Maple,4,44.61187,-75.169033,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,34,"moss at the bottom of tree, broken branches",This is a tree tapped for sugaring in the spring ,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/08/2015 - 8:32am,7,10/8/15,Sugar Maple,4,44.61138,-75.169582,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,35,none,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/14/2015 - 10:52am,,10/14/15,Silver Maple,3,44.371829,-75.243672,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,17,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/14/2015 - 2:29pm,,10/14/15,Silver Maple,3,44.371703,-75.3302,Yes,2,School paved area,6,Open (more than 5hr per day of direct sun),1,16,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/19/2015 - 8:37am,7,10/19/15,Sugar Maple,4,44.61138,-75.169582,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Open (more than 5hr per day of direct sun),1,35,none,its a smaller shorter tree,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/19/2015 - 10:46am,,10/19/15,Sugar Maple,4,44.610277,-75.169802,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Open (more than 5hr per day of direct sun),1,48,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/19/2015 - 11:29am,32,10/19/15,Sugar Maple,4,44.61078,-75.116951,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,43,Dead tree less than 12 inches away,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/26/2015 - 10:54am,,10/26/15,Sugar Maple,4,43.372700,-75.242600,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,7,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
11/02/2015 - 10:55am,,10/27/15,Sugar Maple,4,44.591591,-75.163783,Yes,2,School lawn,5,Partially Shaded (2-5hr per day of direct sun),2,44,None,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/29/2015 - 2:12pm,54,10/29/15,Sugar Maple,4,44.605801,-75.167953,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,85,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/29/2015 - 2:12pm,54,10/29/15,Sugar Maple,4,44.605801,-75.167953,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,85,,name: James,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/29/2015 - 2:12pm,54,10/29/15,Sugar Maple,4,44.605801,-75.167953,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,85,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/23/2016 - 12:54pm,,9/22/16,Sugar Maple,4,44.822885,-74.516225,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,27,broken branch,"two smaller branches have been cut off by landscaping crew at some point in the past, some lichen on bark of trunk, full, healthy canopy",Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/23/2016 - 12:54pm,,9/22/16,Sugar Maple,4,44.822885,-74.51625,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,45,Two holes,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/23/2016 - 9:13am,,9/22/16,Sugar Maple,4,44.82406,-74.513876,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,21,mossy,white splotches on the branch bark,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/23/2016 - 9:16am,,9/22/16,Sugar Maple,4,44.82407,-74.513876,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,31,"missing branches

missing bark",,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/30/2016 - 2:22pm,43,9/29/16,Sugar Maple,4,44.611236,-75.169032,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,46,none ,are tree is very healthy and we tap it for maple syrup .the tree is starting to lose less then 10 percent of its leafs and are tree name is beckam ,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
11/01/2016 - 2:22pm,44,11/1/16,Sugar Maple,4,44.611459,-75.16959,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,48,none,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
11/01/2016 - 2:24pm,46,11/1/16,Sugar Maple,4,44.605492,-75.167624,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,47,none,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
11/01/2016 - 2:24pm,40,11/1/16,Sugar Maple,4,44.610247,-75.169787,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,34,"Whit spots

Fungi tree leaning on it

Moss at bottom of trunk",Tree appears to be healthy and untouched. ,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
11/01/2016 - 2:23pm,47,11/1/16,Sugar Maple,4,44.606298,-75.167596,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,35,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
01/19/2017 - 1:48pm,254,11/2/16,Sugar Maple,4,44.3614,-75.2069,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,55,None,None,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
02/01/2017 - 1:10pm,243,11/4/16,Sugar Maple,4,44.361642,-75.200735,No,1,School lawn,5,Open (more than 5hr per day of direct sun),1,11,No,The tree is located within the sugar bush at the Sustainability Semester site and had been tapped last spring. The tree is tall and the canopy gets sun while the base of the tree does not.,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
02/01/2017 - 2:48pm,246,11/4/16,Sugar Maple,4,44.2142,-75.1211,No,1,School lawn,5,Partially Shaded (2-5hr per day of direct sun),2,4,semi dead ,Tree limbs do not seem to be growing on the NW side of the tree,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/13/2013 - 9:26am,,9/13/13,,,,,Yes,2,Home lawn,2,Open (more than 5hr per day of direct sun),1,,The center trunk of this tree was removed about two years ago because it had died.  There is a mountain ash seedling starting to grow in the center crotch of the tree.,,Middle: Many leaves have turned color,2,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/25/2015 - 10:57am,,9/18/15,Sugar Maple,4,44.371829,-75.243672,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,17,healthy scratched,,Middle: Many leaves have turned color,2,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/24/2015 - 1:15pm,,9/23/15,Sugar Maple,4,44.371619,-75.243402,Yes,2,School paved area,6,Open (more than 5hr per day of direct sun),1,16,Damaged trunk,"The tree grew slanted, because it grew on a mini slope.",Middle: Many leaves have turned color,2,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/08/2015 - 12:53pm,43,10/8/15,Sugar Maple,4,44.611236,-75.169032,No,1,School garden,4,Shaded (less than 2hr per day of direct sun),3,4,some insect damage,,Middle: Many leaves have turned color,2,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/19/2015 - 10:48am,15,10/19/15,Sugar Maple,4,44.611452,-75.169535,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,43,,,Middle: Many leaves have turned color,2,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/28/2015 - 11:43am,40,10/29/15,Sugar Maple,4,44.610247,-75.169787,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,26,,,Middle: Many leaves have turned color,2,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
