Computer date,Date,Tree ID Number ,Maple Species,Latitude,Longitude,Concrete,Habitat,Shading,Circumference_in,Tree health,Leaf buds,Leaves unfolded,Flowers
05/05/2015 - 1:10pm,5/5/15,,,44.343999,-75.45765,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),10.5,yes,yes,yes,Flowers are visible
05/05/2015 - 1:12pm,5/5/15,,,44.343999,-75.45765,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),13,"Yes, new branches are growing and leaves are popping out.",yes,no,Flowers are visible
05/08/2015 - 8:25am,5/8/15,,,43.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),48,,yes,yes,Flowers are visible
05/08/2015 - 11:33am,5/8/15,,,44.17,-75.61,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,yes,yes,yes,Flowers are visible
05/08/2015 - 1:30pm,5/8/15,,,44.611236,-75.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4,,yes,yes,Flowers are visible
05/08/2015 - 2:11pm,5/8/15,,,44.605696,-75.167442,Yes,School lawn,Open (more than 5hr per day of direct sun),98,yes,no,yes,Flowers are visible
05/08/2015 - 2:12pm,5/8/15,,,44.605323,-75.167859,Yes,School lawn,Open (more than 5hr per day of direct sun),78.5,,yes,yes,Flowers are visible
05/08/2015 - 2:12pm,5/8/15,,,44.60493,-75.168005,Yes,School lawn,Open (more than 5hr per day of direct sun),86,Yes,yes,yes,Flowers are visible
05/08/2015 - 2:12pm,5/8/15,,,44.60493,-75.168005,Yes,School lawn,Open (more than 5hr per day of direct sun),86,Yes,yes,yes,Flowers are visible
05/08/2015 - 2:13pm,5/8/15,,,44.605998,-75.167856,Yes,School lawn,Open (more than 5hr per day of direct sun),67,yes,yes,yes,Flowers are visible
05/08/2015 - 2:14pm,5/8/15,,,44.606267,-75.167331,Yes,School lawn,Open (more than 5hr per day of direct sun),65,yes,yes,yes,Flowers are visible
05/08/2015 - 2:17pm,5/8/15,,,44.605769,-75.16797,Yes,School lawn,Open (more than 5hr per day of direct sun),60,yes,yes,yes,Flowers are visible
05/08/2015 - 2:24pm,5/8/15,,,44.606298,-75.167596,Yes,School lawn,Open (more than 5hr per day of direct sun),21,,yes,yes,Flowers are visible
05/20/2015 - 11:37am,5/20/15,,,44.611452,-75.169535,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,yes,yes,yes,Flowers are visible
05/20/2015 - 11:37am,5/20/15,,,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,yes,yes,yes,Flowers are visible
05/20/2015 - 1:45pm,5/20/15,,,44.611236,-75.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4,yes,yes,no,Flowers are visible
05/20/2015 - 2:10pm,5/20/15,,,44.606267,-75.167331,Yes,School lawn,Open (more than 5hr per day of direct sun),65,,yes,yes,Flowers are visible
05/20/2015 - 2:12pm,5/20/15,,,44.60493,-75.168005,Yes,School lawn,Open (more than 5hr per day of direct sun),86,YES,yes,yes,Flowers are visible
05/20/2015 - 2:12pm,5/20/15,,,44.60594,-75.167302,Yes,School lawn,Open (more than 5hr per day of direct sun),91,Yes,no,yes,Flowers are visible
05/20/2015 - 2:15pm,5/20/15,,,44.605769,-75.16797,Yes,School lawn,Open (more than 5hr per day of direct sun),60,yes,yes,yes,Flowers are visible
04/15/2016 - 2:16pm,4/15/16,45,Silver Maple,44.605323,-75167859,Yes,School lawn,Open (more than 5hr per day of direct sun),96,yes,yes,no,Flowers are visible
04/21/2016 - 2:16pm,4/21/16,canton46,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),85,yes,yes,yes,Flowers are visible
04/21/2016 - 2:16pm,4/21/16,46,Silver Maple,44.605323,-75167859,Yes,School lawn,Open (more than 5hr per day of direct sun),88,Yes ,yes,no,Flowers are visible
04/28/2016 - 10:26am,4/20/16,65,Red Maple,44.557648,-79.946717,Yes,School lawn,Open (more than 5hr per day of direct sun),35,yes ,yes,no,Flowers are visible
04/28/2016 - 10:29am,4/28/16,65,Red Maple,45.557648,-74.946717,Yes,School lawn,Open (more than 5hr per day of direct sun),35,yes,yes,no,Flowers are visible
05/02/2016 - 9:21pm,4/19/16,,Red Maple,44.93105,-74.867313,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),73,moss,yes,yes,Flowers are visible
05/05/2016 - 12:50pm,5/5/16,37,Sugar Maple,44.611433,-75.169584,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),12,,yes,no,Flowers are visible
05/05/2016 - 2:20pm,5/5/16,45,Silver Maple,44.605323,-75167859,No,School lawn,Open (more than 5hr per day of direct sun),88,Yes,yes,no,Flowers are visible
05/05/2016 - 2:22pm,5/5/16,50,Norway Maple,44.60594,-75167302,Yes,School lawn,Open (more than 5hr per day of direct sun),93,yes,yes,no,Flowers are visible
05/09/2016 - 9:42am,5/9/16,64,Silver Maple,44.557572,-74.946624,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),30,Yes,yes,yes,Flowers are visible
05/09/2016 - 9:42am,5/9/16,62,Silver Maple,44.5572,-74.946624,Yes,School lawn,Open (more than 5hr per day of direct sun),16,YES,yes,no,Flowers are visible
05/09/2016 - 10:27am,5/9/16,63,Silver Maple,44.557534,-74.946267,Yes,School lawn,Open (more than 5hr per day of direct sun),21,"Yes, missing a branch though.",yes,no,Flowers are visible
05/09/2016 - 10:28am,5/7/16,61,Silver Maple,44.557263,-74.945775,Yes,School lawn,Open (more than 5hr per day of direct sun),20,,yes,no,Flowers are visible
05/13/2016 - 10:50am,5/13/16,18,Sugar Maple,44.611477,-76.169512,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),31.5,,yes,yes,Flowers are visible
05/13/2016 - 10:51am,5/13/16,19,Sugar Maple,44.61146,-75.169603,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),17,yes,yes,no,Flowers are visible
05/13/2016 - 10:51am,5/13/16,14,Sugar Maple,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,,yes,yes,Flowers are visible
05/13/2016 - 10:54am,5/13/16,24,Sugar Maple,3,-3,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4,"yes

",yes,no,Flowers are visible
05/13/2016 - 2:08pm,5/13/16,53,Norway Maple,44.605998,-75.167856,Yes,School lawn,Open (more than 5hr per day of direct sun),72,yes it is very healthy and still growing,yes,yes,Flowers are visible
05/13/2016 - 2:08pm,5/13/16,45,Silver Maple,44.605323,-75167859,No,School lawn,Open (more than 5hr per day of direct sun),88,Yes very,yes,yes,Flowers are visible
05/23/2016 - 8:30am,5/23/16,7,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),35,Yes,yes,yes,Flowers are visible
05/23/2016 - 10:24am,5/23/16,18,Sugar Maple,44.611477,-75.169512,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),31.5,,yes,yes,Flowers are visible
05/23/2016 - 10:47am,5/23/16,20,Sugar Maple,44.611952,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),54,yes,yes,yes,Flowers are visible
05/23/2016 - 12:40pm,5/23/16,38,Sugar Maple,44.611188,-75.169001,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),14,"yes

",yes,yes,Flowers are visible
05/23/2016 - 12:45pm,5/23/16,41,Sugar Maple,44.608917,-75.171201,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),26,yes,yes,yes,Flowers are visible
05/23/2016 - 12:46pm,5/5/16,36,Sugar Maple,44.611451,-75.169559,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),26,yes,yes,yes,Flowers are visible
05/23/2016 - 2:10pm,5/23/16,45,Silver Maple,44.605323,-75.167859,No,School lawn,Open (more than 5hr per day of direct sun),88,Yes,yes,yes,Flowers are visible
05/23/2016 - 2:10pm,5/23/16,51,Silver Maple,44.605511,-75.1679999,Yes,School lawn,Open (more than 5hr per day of direct sun),70,yes,yes,yes,Flowers are visible
05/23/2016 - 2:11pm,5/23/16,53,Norway Maple,44.605998,-75.167856,Yes,School lawn,Open (more than 5hr per day of direct sun),68,,yes,yes,Flowers are visible
05/23/2016 - 2:11pm,5/23/16,55,Red Maple,44.605696,-75.167442,Yes,School lawn,Open (more than 5hr per day of direct sun),98,,yes,yes,Flowers are visible
04/22/2015 - 6:20pm,4/22/15,,,44.613312,-75.407217,Yes,Home lawn,Open (more than 5hr per day of direct sun),55.5,,yes,no,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
04/27/2015 - 4:00pm,4/27/15,,,44.613312,-75.407217,Yes,Home lawn,Open (more than 5hr per day of direct sun),55.5,,yes,no,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
04/29/2015 - 11:32am,4/29/15,,,44.611412,-75.169456,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4.5,one brocken brANCH,no,no,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/01/2015 - 1:06pm,4/29/15,,,44.3499,-75.45765,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),62,No it has broken limbs and bark pealing off.,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/05/2015 - 1:08pm,5/5/15,,,44.343999,-75.45765,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),23,"Yes, nothing appears to be wrong with it.",no,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/05/2015 - 1:08pm,5/5/15,,,44.343999,-75.45765,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),62,NO,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/08/2015 - 2:12pm,5/8/15,,,44.605362,-75.167645,Yes,School lawn,Open (more than 5hr per day of direct sun),101,yes,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/20/2015 - 8:31am,5/20/15,,,42.61138,-75.169582,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),48,,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/20/2015 - 2:11pm,5/20/15,,,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),136,Yes,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/20/2015 - 2:11pm,5/20/15,,,44.605362,-75.167645,Yes,School lawn,Open (more than 5hr per day of direct sun),101,yes,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
04/15/2016 - 12:50pm,4/15/16,41,Sugar Maple,44.608917,-75.171201,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),27,yes.,no,no,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
04/20/2016 - 10:05am,4/20/16,65,Red Maple,44,,Yes,School lawn,Shaded (less than 2hr per day of direct sun),34,yes,no,no,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
04/28/2016 - 9:39am,4/28/16,65,Red Maple,44,-74,Yes,School lawn,Shaded (less than 2hr per day of direct sun),33,Yes,no,no,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/05/2016 - 2:19pm,5/5/16,Canton 46,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),85,Yes,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/09/2016 - 9:42am,5/9/16,65,Red Maple,44,,Yes,School lawn,Shaded (less than 2hr per day of direct sun),33,Yes,yes,no,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/13/2016 - 2:09pm,5/13/16,51,Silver Maple,44.605511,-81.167999,Yes,School lawn,Open (more than 5hr per day of direct sun),71,yes,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/13/2016 - 2:09pm,5/13/16,canton46,Norway Maple,44.605492,-75.1667624,Yes,School lawn,Open (more than 5hr per day of direct sun),87,Yes,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/13/2016 - 2:10pm,5/13/16,56,Sugar Maple,44.60493,-75168005,Yes,School lawn,Open (more than 5hr per day of direct sun),94,,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/20/2016 - 9:38am,5/20/16,66,Silver Maple,44.558,-75.8475,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),32,Yes,yes,no,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/20/2016 - 9:38am,5/20/16,66,Silver Maple,44.558,-75.8475,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),32,Yes,yes,no,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/20/2016 - 10:25am,5/20/16,64,Sugar Maple,44.358035,-74.947101,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),33,,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/23/2016 - 10:47am,5/23/16,14,Sugar Maple,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/23/2016 - 10:47am,5/23/16,19,Sugar Maple,44.61146,-75.169603,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),17,yes,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/23/2016 - 2:09pm,5/23/16,Canton 46,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),87,Yes,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/23/2016 - 2:11pm,5/23/16,49,Norway Maple,44,-75.6,Yes,School lawn,Open (more than 5hr per day of direct sun),50.5,yes,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/23/2016 - 2:11pm,5/23/16,47,Sugar Maple,44.606298,-75.167596,Yes,School lawn,Open (more than 5hr per day of direct sun),1,,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
05/23/2016 - 2:13pm,5/23/16,56,Sugar Maple,44.60493,-75.60168005,Yes,School lawn,Open (more than 5hr per day of direct sun),94,,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains)
04/09/2014 - 12:55pm,4/9/14,,,44.29587,-75.11193,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),100,"She's a very healthy old mother tree. Only a few lower (and small) branches are dead). Right now, she is producing PROFUSE amounts of sap (from 3 taps - see image).

Thus far (and beginning on Feb 21 - I missed the January 14 flow) I have collected about 142 quarts / 35 gallons of sap from this tree - enough to make a gallon of maple syrup. I tested the sugar content

on March 21 at 2.6 %.  Circumference is a GUESS - I will measure it with a tape next time I gather sap!  Bob",no,no,no
04/28/2014 - 2:53pm,4/28/14,,,44.932299,-74.866861,Yes,School lawn,Open (more than 5hr per day of direct sun),81.25,"Yes, there is moss growing on the trunk",yes,no,no
05/09/2014 - 10:38am,5/8/14,,,44.597021,-75.170283,Yes,Home lawn,Partially Shaded (2-5hr per day of direct sun),38,,yes,no,no
05/16/2014 - 6:43pm,5/9/14,,,44.587205,-75.170702,Yes,Home lawn,Open (more than 5hr per day of direct sun),132,The center trunk of this tree was removed about two years ago because it had died.  There is a mountain ash seedling starting to grow in the center crotch of the tree.,yes,no,no
08/08/2014 - 10:28am,8/8/14,,,45.59195,-75.16447,Yes,School garden,Partially Shaded (2-5hr per day of direct sun),89.25,Yes,no,yes,no
08/08/2014 - 10:30am,8/8/14,,,44.35,-75.9,Yes,School lawn,Shaded (less than 2hr per day of direct sun),17,Yes,no,yes,no
08/08/2014 - 10:31am,8/8/14,,,44.32,-75.9,Yes,School lawn,Open (more than 5hr per day of direct sun),70,The tree looks healthy minus one broken  and missing branch. Bark lookshealthywithno fungus but it has a missing chunk of Bark but has some lichens,no,yes,no
08/08/2014 - 10:31am,8/8/14,,,44.32,-75.9,Yes,School lawn,Open (more than 5hr per day of direct sun),126,,yes,yes,no
04/15/2015 - 11:48am,4/14/15,,,44.597017,-75.170261,Yes,Home lawn,Partially Shaded (2-5hr per day of direct sun),41,Yes,no,no,no
04/17/2015 - 8:45am,4/17/15,,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),3,yes,no,no,no
04/17/2015 - 8:46am,4/17/15,,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),44.5,"yes

broken limbs

fungi

no buds whatsoever",no,no,no
04/17/2015 - 8:46am,4/17/15,,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),37.5,broken branches,no,no,no
04/17/2015 - 8:46am,4/17/15,,,44.611449,-75.169515,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),9,it has broken limbs,no,no,no
04/17/2015 - 8:46am,4/17/15,,,44.611187,-75.169034,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),8,,no,no,no
04/17/2015 - 8:46am,4/17/15,,,44.610793,-75.170487,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),40,Broken Branches ,no,no,no
04/17/2015 - 8:46am,4/17/15,,,44.610246,-75.169679,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),31,broken limbs,no,no,no
04/17/2015 - 8:46am,4/17/15,,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),46,yes,yes,yes,no
04/17/2015 - 8:47am,4/17/15,,,44.6114,-75.1696,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),48,,no,no,no
04/17/2015 - 8:47am,4/17/15,,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),3.8,yes,no,no,no
04/17/2015 - 8:48am,4/17/15,,,44.611399,-75.169526,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24.5,"several broken branches, overall yes",no,no,no
04/17/2015 - 11:45am,4/17/15,,,44.611452,-75.169535,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,no,no,no
04/17/2015 - 11:46am,4/17/15,,,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),20,Yes,no,no,no
04/17/2015 - 11:46am,4/17/15,,,44.611412,-75.169456,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4.5,Yes; One broken branch.,no,no,no
04/17/2015 - 11:46am,4/17/15,,,44.611477,-75.169512,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),30.5,yes,no,no,no
04/17/2015 - 11:47am,4/17/15,,,44.611465,-75.169554,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),33,yes,no,no,no
04/17/2015 - 11:47am,4/17/15,,,44.61146,-75.169603,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),18,yeah ,no,no,no
04/17/2015 - 11:47am,4/17/15,,,44.61146,-75.169603,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),18,yeah ,no,no,no
04/17/2015 - 11:47am,4/17/15,,,44.611452,-75.169535,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,,no,no,no
04/17/2015 - 11:47am,4/17/15,,,44.575389,-75.1361,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,Dead top and a missing limb,no,no,no
04/17/2015 - 11:48am,4/17/15,,,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),6,yes,no,no,no
04/17/2015 - 11:49am,4/17/15,,,44.610277,-75.169802,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),14,there were broken branches,no,no,no
04/17/2015 - 1:00pm,4/17/15,,,44.611451,-75.169546,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,,yes,no,no
04/17/2015 - 1:00pm,4/17/15,,,44.611443,-75.16954,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,yes,no,no,no
04/17/2015 - 1:00pm,4/17/15,,,44.611203,-75.169027,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),12,yes ,no,no,no
04/17/2015 - 1:00pm,4/17/15,,,44.610527,-75.169689,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),28,yes,no,no,no
04/17/2015 - 1:00pm,4/17/15,,,44.61029,-75.170224,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,yes,no,no,no
04/17/2015 - 1:02pm,4/17/15,,,44.61455,-75.169544,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),9,yes,no,no,no
04/17/2015 - 1:02pm,4/17/15,,,44.61078,-75.1169508,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),12,yes,no,no,no
04/17/2015 - 1:03pm,4/17/15,,,44.611735,-75.169559,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),22,yes,no,no,no
04/17/2015 - 1:44pm,4/17/15,,,44.610247,-75.169787,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,YES,no,no,no
04/17/2015 - 1:45pm,4/17/15,,,44.611236,-75.611236,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),48.5,Yes.,no,no,no
04/17/2015 - 1:45pm,4/17/15,,,44.611433,-75.169584,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),6.5,yes,no,no,no
04/17/2015 - 1:45pm,4/17/15,,,44.608917,-75.171201,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),26,Yes,no,no,no
04/17/2015 - 1:46pm,4/17/15,,,44.611434,-75.169531,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),38.5,yes,no,no,no
04/17/2015 - 1:46pm,4/17/15,,,44.611451,-75.169559,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),26,yes,no,no,no
04/17/2015 - 1:46pm,4/17/15,,,44.611188,-75.169001,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),13,Yes. ,no,no,no
04/17/2015 - 1:46pm,4/17/15,,,44.611236,-75.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4,yes,no,no,no
04/17/2015 - 1:46pm,4/17/15,,,44.611188,-75.169001,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),13,Yes. ,no,no,no
04/17/2015 - 1:46pm,4/17/15,,,44.611459,-758.16959,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),40,Yes,no,no,no
04/17/2015 - 1:47pm,4/17/15,,,44.611436,-75.16954,No,Other,Partially Shaded (2-5hr per day of direct sun),3.5,yes,no,no,no
04/17/2015 - 1:47pm,4/17/15,,,44.611436,-75.16954,No,Other,Partially Shaded (2-5hr per day of direct sun),3.5,yes,no,no,no
04/17/2015 - 2:26pm,4/17/15,,,44.60493,-75.168005,Yes,School lawn,Open (more than 5hr per day of direct sun),86,Yes,yes,no,no
